data,name,type,tmpt,visit,n,mean,sd,se,cv,nm
Home,fev1_fvc,Irrespective of disease status,same_week,V4,69,71.97,14.08,1.7,0.2,FEV1/FVC
Home,fev1_fvc,Irrespective of disease status,same_week,V5,44,78.57,12.46,1.88,0.16,FEV1/FVC
Clinic,fev1pp,Irrespective of disease status,same_week,V1,189,85.29,26.45,1.92,0.31,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_week,V2,199,84.76,22.44,1.59,0.26,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_week,V3,173,84.02,22.59,1.72,0.27,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_week,V4,129,79.67,22.85,2.01,0.29,FEV1 % predicted
Clinic,fev1pp,Irrespective of disease status,same_week,V5,82,82.12,23.78,2.63,0.29,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_week,V1,134,84.75,24.71,2.13,0.29,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_week,V2,141,87.02,26.73,2.25,0.31,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_week,V3,108,84.24,23.46,2.26,0.28,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_week,V4,69,82,27.54,3.32,0.34,FEV1 % predicted
Home,fev1pp,Irrespective of disease status,same_week,V5,44,84.62,25.98,3.92,0.31,FEV1 % predicted
Clinic,fvc,Irrespective of disease status,same_week,V1,189,3.26,1.03,0.07,0.31,FVC (L)
Clinic,fvc,Irrespective of disease status,same_week,V2,199,3.31,0.98,0.07,0.3,FVC (L)
Clinic,fvc,Irrespective of disease status,same_week,V3,173,3.27,1,0.08,0.31,FVC (L)
Clinic,fvc,Irrespective of disease status,same_week,V4,129,3.19,1.05,0.09,0.33,FVC (L)
Clinic,fvc,Irrespective of disease status,same_week,V5,82,3.25,1.04,0.11,0.32,FVC (L)
Home,fvc,Irrespective of disease status,same_week,V1,134,3.07,1,0.09,0.33,FVC (L)
Home,fvc,Irrespective of disease status,same_week,V2,141,3.24,1.05,0.09,0.32,FVC (L)
Home,fvc,Irrespective of disease status,same_week,V3,108,3.16,0.92,0.09,0.29,FVC (L)
Home,fvc,Irrespective of disease status,same_week,V4,69,3.2,1.19,0.14,0.37,FVC (L)
Home,fvc,Irrespective of disease status,same_week,V5,44,3.09,1.05,0.16,0.34,FVC (L)
Clinic,fvcpp,Irrespective of disease status,same_week,V1,189,95.43,28.78,2.09,0.3,FVC % predicted
Clinic,fvcpp,Irrespective of disease status,same_week,V2,199,95.26,18.91,1.34,0.2,FVC % predicted
Clinic,fvcpp,Irrespective of disease status,same_week,V3,173,94.93,20.37,1.55,0.21,FVC % predicted
Clinic,fvcpp,Irrespective of disease status,same_week,V4,129,92.61,19.81,1.74,0.21,FVC % predicted
Clinic,fvcpp,Irrespective of disease status,same_week,V5,82,92.35,20.26,2.24,0.22,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_week,V1,134,91.17,20.4,1.76,0.22,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_week,V2,141,94.7,23.06,1.94,0.24,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_week,V3,108,91.89,19.61,1.89,0.21,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_week,V4,69,93.08,24.96,3,0.27,FVC % predicted
Home,fvcpp,Irrespective of disease status,same_week,V5,44,88.64,24.17,3.64,0.27,FVC % predicted
Clinic,pef,Irrespective of disease status,same_week,V1,189,344.42,122.55,8.91,0.36,PEF (L)
Clinic,pef,Irrespective of disease status,same_week,V2,199,351.67,122.65,8.69,0.35,PEF (L)
Clinic,pef,Irrespective of disease status,same_week,V3,173,348.95,126.12,9.59,0.36,PEF (L)
Clinic,pef,Irrespective of disease status,same_week,V4,129,341.09,129.22,11.38,0.38,PEF (L)
Clinic,pef,Irrespective of disease status,same_week,V5,82,356.34,130.93,14.46,0.37,PEF (L)
Home,pef,Irrespective of disease status,same_week,V1,134,345.23,124.58,10.76,0.36,PEF (L)
Home,pef,Irrespective of disease status,same_week,V2,141,378.02,135.27,11.39,0.36,PEF (L)
Home,pef,Irrespective of disease status,same_week,V3,108,366.3,124.29,11.96,0.34,PEF (L)
Home,pef,Irrespective of disease status,same_week,V4,69,355.22,140.75,16.94,0.4,PEF (L)
Home,pef,Irrespective of disease status,same_week,V5,44,371.89,157.92,23.81,0.42,PEF (L)
